cid,course name,subject
JAPAN102R,First-Year Japanese 2,JAPAN
PMATH351,Real Analysis,PMATH
ECON206,Money and Banking 1,ECON
ECON371,Business Finance 1,ECON
ME262,Introduction to Microprocessors and Digital Logic,ME
MTE204,Numerical Methods,MTE
SMF204,Introduction to Human Sexuality,SMF
STAT443,Forecasting,STAT
ARBUS300,Practical Business Skills,ARBUS
CHINA120R,Advanced First-Year Chinese,CHINA
ITAL101,Introduction to Italian Language 1,ITAL
PHYS358,Thermal Physics,PHYS
SE490,Design Project 1,SE
COMM101,Introduction to Financial Markets,COMM
ECE298,Instrumentation and Prototyping Laboratory,ECE
ENGL140R,The Use of English,ENGL
INDEV100,Introduction to International Development,INDEV
INTEG120,The Art and Science of Learning,INTEG
MTE322,Electromechanical Machine Design,MTE
MUSIC270,Music Theory 1,MUSIC
PHYS275,Planets,PHYS
PSCI231,Government and Business,PSCI
PSYCH238,Organizational Psychology,PSYCH
STAT240,Probability (Advanced Level),STAT
WKRPT300M,Work-term Report,WKRPT
CIVE100,Civil Engineering Concepts,CIVE
ECE300B,Electrical and Computer Engineering Practice,ECE
ECE498A,Engineering Design Project,ECE
GEOG203,Environment and Development in a Global Perspective,GEOG
MTE203,Advanced Calculus,MTE
PHYS256L,Optics Laboratory,PHYS
SYDE285,Materials Chemistry,SYDE
ECE208,Discrete Mathematics and Logic 2,ECE
KIN221,Advanced Biomechanics of Human Movement,KIN
AFM272,Global Capital Markets and Financial Analytics,AFM
AFM274,Introduction to Corporate Finance,AFM
CHEM209,Introductory Spectroscopy and Structure,CHEM
GBDA103,User Experience Design,GBDA
MSCI100,Management Engineering Concepts,MSCI
NE113,Introduction to Computational Methods,NE
PHIL110B,Introduction to Philosophy: Ethics and Values,PHIL
EARTH122L,Introductory Environmental Sciences Laboratory,EARTH
ECE203,Probability Theory and Statistics 1,ECE
EMLS102R,Clear Communication in English Writing,EMLS
NE131,Physics for Nanotechnology Engineering,NE
PHYS10,Physics Seminar,PHYS
WKRPT100,Work-term Report,WKRPT
AFM202,Introduction to Public Practice,AFM
BIOL301,Human Anatomy,BIOL
HLTH230,Introduction to Health Informatics,HLTH
MATH104,Introductory Calculus for Arts and Social Science,MATH
ME203,Ordinary Differential Equations,ME
ME340,Manufacturing Processes,ME
ME354,Thermodynamics 2,ME
MUSIC116,Music Ensemble,MUSIC
COMMST100,Interpersonal Communication,COMMST
BIOL211,Introductory Vertebrate Zoology,BIOL
CHEM220L,Quantitative Chemical Analysis Laboratory,CHEM
CIVE153,Earth Engineering,CIVE
CO342,Introduction to Graph Theory,CO
CO351,Network Flow Theory,CO
KIN146,Introduction to Human Nutrition,KIN
PHYS249,Computational Physics and Linear Algebra,PHYS
BIOL273L,Human Physiology 1 Laboratory,BIOL
BIOL302,Functional Histology,BIOL
BIOL355,Biology of Human Aging,BIOL
COOP5,Co-operative Work Term,COOP
CS480,Introduction to Machine Learning,CS
ENBUS102,Introduction to Environment and Business,ENBUS
ENGL108A,The Superhero,ENGL
ME220,Mechanics of Deformable Solids 2,ME
ME303,Advanced Engineering Mathematics,ME
STAT241,Statistics (Advanced Level),STAT
AFM113,Analytic Methods for Business 2,AFM
ACTSC232,Life Contingencies 1,ACTSC
CS449,Human-Computer Interaction,CS
ME212,Dynamics,ME
ECON120W,Intro to Microeconomics (WLU),ECON
BIOL373L,Human Physiology Laboratory,BIOL
BME121,Digital Computation,BME
CHEM212,Structure and Bonding,CHEM
CHEM254,Introductory Chemical Thermodynamics,CHEM
ENGL108P,Popular Potter,ENGL
ENVS131,Communications for Environmental Professions,ENVS
GEOG271,Earth from Space Using Remote Sensing,GEOG
NE125,Introduction to Materials Science and Engineering,NE
SCBUS123,Workshop 1: Science and Business,SCBUS
SYDE212,Probability and Statistics,SYDE
CS371,Introduction to Computational Mathematics,CS
ECE204A,Numerical Methods 1,ECE
JAPAN201R,Second-Year Japanese 1,JAPAN
MTE320,Actuators and Power Electronics,MTE
NE109,Societal and Environmental Impacts of Nanotechnology,NE
PHYS236,Computational Physics 1,PHYS
SPAN102,Introduction to Spanish 2,SPAN
SYDE262,Engineering Economics of Design,SYDE
BIOL266,Introduction to Computational Biology,BIOL
BIOL354,Environmental Toxicology 1,BIOL
CHE161,Engineering Biology,CHE
HLTH333,Principles of Epidemiology,HLTH
MSCI331,Introduction to Optimization,MSCI
RS121,Evil,RS
SOC229,Selected Topics in Criminology,SOC
STAT340,Stochastic Simulation Methods,STAT
AFM481,Cost Management Systems,AFM
BIOL361,Biostatistics and Experimental Design,BIOL
BME181,Physics 1: Statics,BME
FR101,Beginner French,FR
HLTH202,Principles of Public and Population Health,HLTH
KIN101,Biophysical Evaluation Lab,KIN
ME123,Electrical Engineering for Mechanical Engineers,ME
MTE325,Microprocessor Systems and Interfacing for Mechatronics Engineering,MTE
NE111,Introduction to Programming for Engineers,NE
AFM182,Foundations for Management Accounting,AFM
CS365,Models of Computation,CS
ECE206,Adv Calculus 2 for Electrical Engineers,ECE
ECE458,Computer Security,ECE
ECON221,Statistics for Economists,ECON
FR251,French Language 2: Module 1,FR
MTE100B,Seminar,MTE
SE202,Seminar,SE
AFM491,Advanced Financial Accounting,AFM
BET320,Entrepreneurial Strategy,BET
CHE101,Chemical Engineering Concepts 2,CHE
EARTH270,Disasters and Natural Hazards,EARTH
ECON220,Entrepreneurship Principles and Practices,ECON
GEOG202,Geography of the Global Economy,GEOG
HIST105,Rock 'n' Roll and US History,HIST
HIST200,History and Film,HIST
PLAN233,People and Plans,PLAN
PSYCH101R,Introductory Psychology,PSYCH
CHEM265L,Organic Chemistry Laboratory 1,CHEM
ECE209,Electronic and Electrical Properties of Materials,ECE
ECE459,Programming for Performance,ECE
GEOG209,Hydroclimatology,GEOG
KIN255,Fundamentals of Neuroscience,KIN
PMATH333,Introduction to Real Analysis,PMATH
BME101L,Communications in Biomedical Engineering-Visualization,BME
CO255,Introduction to Optimization (Advanced Level),CO
CS245E,Logic and Computation (Enriched),CS
GBDA102,International Business and Cross-Cultural Management,GBDA
KIN104L,Fundamentals of Kinesiology Laboratory,KIN
PHIL101,Challenging Ideas: An Introduction to Philosophy,PHIL
PHIL110A,Introduction to Philosophy: Knowledge and Reality,PHIL
PHIL121,Moral Issues,PHIL
PMATH330,Introduction to Mathematical Logic,PMATH
PSYCH391,Advanced Data Analysis,PSYCH
CHEM265,Organic Chemistry 2,CHEM
ENVE100,Environmental and Geological Engineering Concepts,ENVE
KIN155,Introduction to Neuroscience for Kinesiology,KIN
KIN222,Statistical Techniques Applied to Kinesiology,KIN
KIN354,Psychology of Physical Activity,KIN
LS202,Criminal Law,LS
PD22,Professionalism and Ethics in Engineering Practice,PD
PHIL256,Introduction to Cognitive Science,PHIL
PHYS175L,Introduction to the Universe Laboratory,PHYS
PSYCH338,Organizational Psychology,PSYCH
REC101,Introduction to Recreation and Leisure Services,REC
STAT371,Applied Linear Models and Process Improvement for Business,STAT
SYDE286,Mechanics of Deformable Solids,SYDE
GEOG219,How Pandemics Change the World,GEOG
ACTSC221,Introductory Financial Mathematics (Non-Specialist Level),ACTSC
AFM362,Corporate Taxation,AFM
BET350,Customer Experience Design,BET
BME161,Introduction to Biomedical Design,BME
CO370,Deterministic OR Models,CO
CS442,Principles of Programming Languages,CS
ECON211,Introduction to Mathematical Economics,ECON
ECON231,Introduction to International Economics,ECON
GEOG222,Geographical Study of Canada,GEOG
HLTH341,Principles of Pathobiology,HLTH
MATH103,Introductory Algebra for Arts and Social Science,MATH
ME322,Mechanical Design 1,ME
ME353,Heat Transfer 1,ME
MSCI121,Introduction to Computer Programming,MSCI
VCULT100,World Cinema and Visual Culture,VCULT
AFM211,Connections to Business Context,AFM
BIOL439,Environmental and Natural Products Biochemistry,BIOL
BME101,Communications in Biomedical Engineering-Written and Oral,BME
CLAS100,An Introduction to Classical Studies,CLAS
CS200,Concepts for Advanced Computer Usage,CS
CS446,Software Design and Architectures,CS
ECE375,Electromagnetic Fields and Waves,ECE
ENGL101A,Introduction to Literary Studies,ENGL
GEOG381,Advanced Geographic Information Systems,GEOG
KIN105,Cardiovascular and Respiratory Responses to Exercise,KIN
MSCI131,Work Design and Facilities Planning,MSCI
NE102,Introduction to Nanomaterials Health Risk; Nanotechnology Engineering Practice,NE
STV205,Cybernetics and Society,STV
AFM372,Corporate Finance 2,AFM
ANTH102,Introduction to Social and Cultural Anthropology,ANTH
CIVE204,Solid Mechanics 1,CIVE
CO456,Introduction to Game Theory,CO
CS445,Software Requirements Specification and Analysis,CS
ENBUS204,Principles of Industrial Ecology,ENBUS
ME362,Fluid Mechanics 2,ME
PLAN281,Introduction to Geographic Information Systems (GIS),PLAN
SE301,Seminar,SE
SOC101R,Introduction to Sociology,SOC
SYDE311,Advanced Engineering Math 2,SYDE
BIOL201,Human Anatomy,BIOL
CHEM121,Physical and Chemical Properties of Matter,CHEM
AFM208,Introduction to Assurance,AFM
BIOL331,Advanced Cell Biology,BIOL
COMM231,Commercial and Business Law for Mathematics Students,COMM
MSCI442,Impact of Information Systems on Organizations and Society,MSCI
MTE481,Mechatronics Engineering Design Project,MTE
PD2,Critical Reflection and Report Writing,PD
PLAN203,Transportation Planning and Analysis,PLAN
PMATH352,Complex Analysis,PMATH
PSYCH253R,Social Psychology,PSYCH
ECON140W,Intro to Macroeconomics (WLU),ECON
AHS150,Foundations of Human Anatomy and Physiology,AHS
AMATH351,Ordinary Differential Equations,AMATH
BME122,Data Structures and Algorithms,BME
CIVE221,Advanced Calculus,CIVE
CIVE224,Probability and Statistics,CIVE
GEOG187,Geospatial Data Science,GEOG
HLTH370,Ecological Determinants of Health,HLTH
KIN204,Movement Assessment and Exercise Prescription,KIN
MSCI240,Algorithms and Data Structures,MSCI
PHIL100J,Introduction to Philosophy,PHIL
RS110,Religions of the West,RS
BET210,Business Technology and Infrastructure,BET
BIOL341,Fundamentals of Immunology,BIOL
CHEM224L,Analytical Instrumentation Laboratory,CHEM
CIVE222,Differential Equations,CIVE
CS231,Algorithmic Problem Solving,CS
EASIA201R,Introduction to East Asia,EASIA
ECE350,Real-Time Operating Systems,ECE
ENBUS202,Environmental Management Systems,ENBUS
GBDA203,Introduction to Digital Culture,GBDA
ME380,Mechanical Engineering Design Workshop,ME
NE216,Advanced Calculus and Numerical Methods 1,NE
PD3,Communication,PD
PLAN261,Urban and Metropolitan Planning and Development,PLAN
SCI250,Environmental Geology,SCI
WKRPT400M,Work-term Report,WKRPT
AFM201,Introduction to Professional Practice,AFM
AFM451,Audit Strategy,AFM
AMATH242,Introduction to Computational Mathematics,AMATH
ARTS280,Statistics for Arts Students,ARTS
CHE120,Computer Literacy and Programming for Chemical Engineers,CHE
CIVE265,Structure and Properties of Materials,CIVE
EARTH221,Introductory Geochemistry,EARTH
FR203,Introduction to Phonetics of French,FR
GEOG225,Global Environment and Health,GEOG
HIST113,Canadian Business History: Innovators and Entrepreneurs,HIST
PLAN300,Planning Theory,PLAN
SYDE361,Systems Design Methods 1: Needs Analysis and Prototyping,SYDE
CHEM121L,Chemical Reaction Laboratory 1,CHEM
AFM361,Taxation 1,AFM
AFM373,Cases and Applications in Corporate Finance,AFM
ARBUS301,International Business,ARBUS
CHEM233,Fundamentals of Biochemistry,CHEM
CS489,Advanced Topics in Computer Science,CS
ECE331,Electronic Devices,ECE
ECON301,Microeconomic Theory 2,ECON
ENGL378,Professional Communications in Statistics and Actuarial Science,ENGL
GBDA201,Digital Media Project 1,GBDA
KIN232,Research Design and Statistics,KIN
ME360,Introduction to Control Systems,ME
PHYS334,Quantum Physics 2,PHYS
PMATH348,Fields and Galois Theory,PMATH
PSYCH256,Introduction to Cognitive Science,PSYCH
RS100,Religions of Asia,RS
